train\test,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
s20,0.4750,0.5500,0.5500,0.4000,0.5750,0.7250,0.7000,0.5500,0.5000,0.4750,0.6000,0.5250,0.4250,0.5000,0.5000,0.3750,0.5500,0.6000,0.5750,0.7250,0.5250,0.4500,0.6500,0.4750,0.4750,0.6250,0.7500,0.7250,0.6250,0.6750,0.5000,0.4500
s21,0.4750,0.5500,0.5500,0.4000,0.4500,0.7500,0.7000,0.5500,0.5000,0.5000,0.6000,0.5250,0.4250,0.5000,0.5250,0.3750,0.5500,0.6000,0.5750,0.5750,0.4500,0.4500,0.6500,0.4500,0.4750,0.6500,0.7500,0.6250,0.5000,0.6750,0.5750,0.5000
s22,0.4750,0.5500,0.5500,0.4000,0.4000,0.7500,0.6750,0.5500,0.5000,0.5000,0.6250,0.5250,0.4000,0.5000,0.5000,0.3750,0.5500,0.6000,0.5750,0.5750,0.4750,0.6000,0.6500,0.4500,0.4750,0.6500,0.7500,0.6250,0.5750,0.6750,0.5750,0.5000
s23,0.4750,0.5500,0.5500,0.6000,0.3750,0.7500,0.7000,0.3750,0.5000,0.7000,0.4000,0.5250,0.5750,0.4500,0.5000,0.4000,0.5500,0.6000,0.5750,0.5750,0.4750,0.5000,0.5500,0.4500,0.6750,0.6000,0.5000,0.6250,0.5750,0.6500,0.6250,0.5250
s24,0.4750,0.5750,0.4500,0.4250,0.6000,0.7500,0.4250,0.5250,0.3500,0.3750,0.5000,0.6250,0.5250,0.5000,0.4750,0.5750,0.5000,0.6750,0.5250,0.5500,0.5250,0.5000,0.6500,0.7000,0.5000,0.6500,0.7750,0.5750,0.4250,0.6250,0.6000,0.5000
s25,0.4250,0.5500,0.5250,0.6000,0.4000,0.7500,0.7000,0.6000,0.4500,0.3750,0.4000,0.5250,0.6000,0.5000,0.4000,0.3750,0.5000,0.5750,0.5000,0.5500,0.4750,0.5500,0.3500,0.4500,0.4750,0.6250,0.2500,0.6250,0.5750,0.4500,0.5750,0.5500
s26,0.4750,0.5500,0.5500,0.4250,0.3250,0.7500,0.7000,0.5500,0.5000,0.5250,0.5250,0.5250,0.4250,0.5000,0.5000,0.3750,0.5500,0.6000,0.6000,0.5750,0.6000,0.4250,0.5000,0.4500,0.4750,0.5250,0.6750,0.6250,0.5750,0.6750,0.5750,0.5000
s27,0.4750,0.5500,0.5500,0.4000,0.5250,0.6750,0.7000,0.4500,0.5000,0.5000,0.6000,0.5250,0.4250,0.5000,0.3750,0.3750,0.5500,0.6000,0.5750,0.5750,0.5250,0.4250,0.6250,0.5500,0.5250,0.6250,0.7000,0.5250,0.5500,0.5250,0.5500,0.4500
s28,0.4750,0.5500,0.5500,0.4000,0.6000,0.7250,0.6750,0.5500,0.4500,0.4750,0.6000,0.5500,0.4500,0.4250,0.5500,0.3500,0.5750,0.6750,0.5750,0.5750,0.5250,0.4500,0.6500,0.5500,0.4750,0.6500,0.7500,0.6750,0.5750,0.6750,0.4500,0.4750
s29,0.3750,0.6250,0.4750,0.4500,0.5000,0.2500,0.4250,0.5500,0.5750,0.5000,0.6000,0.5750,0.5750,0.5000,0.6000,0.3750,0.5500,0.4250,0.5000,0.5500,0.4750,0.4250,0.3500,0.7750,0.5000,0.3500,0.2250,0.3750,0.6750,0.4750,0.4750,0.5250
s30,0.4750,0.5500,0.5500,0.4250,0.4000,0.7500,0.7000,0.4500,0.5000,0.6000,0.5000,0.4250,0.4250,0.5000,0.7000,0.3750,0.6500,0.5750,0.5750,0.5750,0.5500,0.4000,0.6000,0.4500,0.5500,0.6250,0.2500,0.6250,0.5250,0.5500,0.5750,0.5250
s31,0.4500,0.5500,0.5500,0.6000,0.3750,0.7500,0.7000,0.4500,0.5000,0.8000,0.3500,0.5250,0.5500,0.5000,0.5000,0.3750,0.5500,0.6000,0.6250,0.3500,0.5000,0.5750,0.4000,0.4500,0.4250,0.4750,0.2750,0.5500,0.4500,0.4500,0.5750,0.5250
s32,0.4750,0.5500,0.5500,0.4000,0.4000,0.7500,0.7000,0.5750,0.5000,0.4500,0.5250,0.5250,0.4250,0.5000,0.4250,0.3750,0.5500,0.6000,0.5750,0.5750,0.4750,0.5500,0.3500,0.4500,0.5250,0.6250,0.2500,0.6250,0.4750,0.6500,0.5750,0.4500
